tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance,is_labeled
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,C,Y,fall,160.0,0.09215999999999999,0.7,25.0,1.0,0.37799999999999995,0.37799999999999995,0,1,1,5.081404364984463,0.08815738673620516,2.645502645502646,2.645502645502646,0.24380952380952384,0.24380952380952384,0.24380952380952384,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,A,Y,fall,160.0,0.0028799999999999997,0.7,25.0,1.0,0.37799999999999995,0.37799999999999995,0,1,1,5.081404364984463,0.002875860745464264,2.645502645502646,2.645502645502646,0.00761904761904762,0.00761904761904762,0.00761904761904762,2.645502645502646,1.4285714285714286,0.04,0.0,0
ASAP7,BUFX4,BUFx4_ASAP7_6t_L,A,Y,rise,10.0,0.023039999999999998,0.7,25.0,1.0,0.27,0.27,0,1,1,2.3978952727983707,0.022778586889339574,3.7037037037037033,3.7037037037037033,0.08533333333333332,0.08533333333333332,0.08533333333333332,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,AND3X4,AND3x4_ASAP7_6t_L,A,Y,fall,160.0,0.046079999999999996,0.7,25.0,0.7,0.37799999999999995,0.54,0,1,1,5.081404364984463,0.04504984455370874,2.645502645502646,1.8518518518518516,0.12190476190476192,0.08533333333333332,0.08533333333333332,1.8518518518518516,1.4285714285714286,0.04,-0.17647058823529424,0
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,B,Y,fall,5.0,0.011519999999999999,0.7,25.0,1.0,0.27,0.27,0,1,1,1.791759469228055,0.011454150045115854,3.7037037037037033,3.7037037037037033,0.04266666666666666,0.04266666666666666,0.04266666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,C,Y,fall,80.0,0.0007199999999999999,0.7,25.0,1.0,0.216,0.216,0,1,1,4.394449154672439,0.0007197409243488539,4.62962962962963,4.62962962962963,0.003333333333333333,0.003333333333333333,0.003333333333333333,4.62962962962963,1.4285714285714286,0.04,0.0,0
ASAP7,OR2X4,OR2x4_ASAP7_6t_L,A,Y,fall,320.0,0.0057599999999999995,0.7,25.0,1.0,0.324,0.324,0,1,1,5.771441123130016,0.005743474627065725,3.0864197530864197,3.0864197530864197,0.017777777777777774,0.017777777777777774,0.017777777777777774,3.0864197530864197,1.4285714285714286,0.04,0.0,0
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,B,Y,fall,20.0,0.0007199999999999999,0.7,25.0,1.0,0.27,0.27,0,1,1,3.044522437723423,0.0007197409243488539,3.7037037037037033,3.7037037037037033,0.002666666666666666,0.002666666666666666,0.002666666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,D,Y,fall,320.0,0.023039999999999998,0.7,25.0,1.0,0.27,0.27,0,1,1,5.771441123130016,0.022778586889339574,3.7037037037037033,3.7037037037037033,0.08533333333333332,0.08533333333333332,0.08533333333333332,3.7037037037037033,1.4285714285714286,0.04,0.0,0
ASAP7,AND4X1,AND4x1_ASAP7_6t_L,A,Y,rise,10.0,0.046079999999999996,0.7,25.0,1.0,0.27,0.27,0,1,1,2.3978952727983707,0.04504984455370874,3.7037037037037033,3.7037037037037033,0.17066666666666663,0.17066666666666663,0.17066666666666663,3.7037037037037033,1.4285714285714286,0.04,0.0,0
